                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.79993,                0.55497,                0.91939,                      1,                0.99373,                  0.995,                0.74001,                0.95458,                0.80812,                0.96169,              0.0013268,              0.0013268,              0.0013268
                     37,                0.77052,                0.53166,                0.91238,                0.98748,                      1,                 0.9948,                0.74465,                0.92915,                0.74966,                0.96501,               0.001307,               0.001307,               0.001307
                     38,                0.83191,                0.55083,                0.93034,                      1,                0.99051,                  0.995,                0.72278,                 0.9439,                0.88787,                0.95978,              0.0012872,              0.0012872,              0.0012872
                     39,                0.84093,                0.55068,                0.92509,                0.99771,                  0.985,                0.99485,                0.72903,                0.92825,                0.78098,                0.94844,              0.0012674,              0.0012674,              0.0012674
                     40,                0.79599,                0.52392,                0.92099,                      1,                0.98495,                 0.9949,                0.71601,                 0.9908,                0.79573,                0.97868,              0.0012476,              0.0012476,              0.0012476
                     41,                0.79802,                0.51007,                0.91546,                0.99487,                0.97031,                0.99455,                0.73055,                0.94039,                0.81899,                0.95203,              0.0012278,              0.0012278,              0.0012278
                     42,                0.77245,                0.50486,                0.91565,                0.99489,                  0.974,                 0.9947,                0.73413,                0.92424,                0.81102,                0.94552,               0.001208,               0.001208,               0.001208
                     43,                0.77595,                0.49175,                0.91508,                0.98996,                0.98566,                0.99436,                  0.748,                0.91685,                0.76226,                0.94052,              0.0011882,              0.0011882,              0.0011882
                     44,                0.75292,                0.47884,                0.91103,                 0.9807,                   0.99,                0.99212,                0.75677,                0.90773,                0.67493,                0.93475,              0.0011684,              0.0011684,              0.0011684
                     45,                0.75766,                0.47569,                0.91035,                0.99806,                  0.995,                  0.995,                0.74531,                0.91959,                0.53911,                0.96383,              0.0011486,              0.0011486,              0.0011486
                     46,                0.79614,                0.48361,                 0.9095,                0.99843,                  0.995,                  0.995,                0.68177,                 1.1101,                0.57696,                 1.0328,              0.0011288,              0.0011288,              0.0011288
                     47,                0.80315,                0.49102,                0.92096,                0.99408,                      1,                  0.995,                0.70416,                 1.0226,                0.53851,                 1.0179,               0.001109,               0.001109,               0.001109
                     48,                0.77565,                0.47144,                0.92007,                0.99501,                0.99756,                  0.995,                0.72382,                0.99231,                0.53851,                0.98406,              0.0010892,              0.0010892,              0.0010892
                     49,                0.74088,                0.45181,                0.90758,                0.99465,                      1,                 0.9948,                0.71749,                 1.0171,                0.49848,                0.98641,              0.0010694,              0.0010694,              0.0010694
                     50,                0.72573,                0.44078,                0.90523,                0.99421,                  0.995,                  0.994,                0.65329,                 1.2246,                0.54873,                  1.067,              0.0010496,              0.0010496,              0.0010496
                     51,                0.74085,                0.44579,                0.91066,                0.99487,                      1,                0.99351,                0.66681,                 1.1748,                 0.5376,                 1.0518,              0.0010298,              0.0010298,              0.0010298
                     52,                0.77628,                0.45206,                0.90961,                0.98905,                      1,                0.99414,                0.67538,                 1.1167,                0.51478,                 1.0491,                0.00101,                0.00101,                0.00101
                     53,                0.76461,                0.45183,                0.91196,                0.98338,                  0.995,                0.99289,                0.68954,                 1.1008,                0.50522,                 1.0397,              0.0009902,              0.0009902,              0.0009902
                     54,                0.76059,                0.44665,                0.91002,                0.99885,                      1,                  0.995,                 0.7208,                0.99277,                 0.4726,                0.98546,              0.0009704,              0.0009704,              0.0009704
                     55,                0.72644,                 0.4275,                0.90318,                0.99814,                      1,                  0.995,                 0.7036,                 1.0314,                0.47876,                 0.9963,              0.0009506,              0.0009506,              0.0009506
                     56,                 0.7258,                0.43035,                0.90396,                0.99939,                      1,                  0.995,                0.74795,                0.93324,                 0.4354,                0.96179,              0.0009308,              0.0009308,              0.0009308
                     57,                0.70819,                0.42387,                0.89536,                0.99787,                      1,                  0.995,                0.70666,                 1.0276,                0.45002,                0.98348,               0.000911,               0.000911,               0.000911
                     58,                0.72316,                0.42679,                0.89812,                0.99965,                      1,                  0.995,                0.72903,                0.99768,                0.42066,                0.97817,              0.0008912,              0.0008912,              0.0008912
                     59,                0.71534,                0.41509,                0.89674,                0.99875,                  0.995,                  0.995,                0.73845,                0.94505,                0.41776,                0.96215,              0.0008714,              0.0008714,              0.0008714
                     60,                0.71573,                0.40672,                 0.9008,                      1,                0.99993,                  0.995,                0.74832,                 0.9138,                0.42357,                0.94293,              0.0008516,              0.0008516,              0.0008516
                     61,                0.73016,                 0.4156,                0.90336,                0.99957,                      1,                  0.995,                0.74668,                0.92741,                0.41511,                0.94935,              0.0008318,              0.0008318,              0.0008318
                     62,                0.68903,                0.39405,                0.89275,                0.99946,                      1,                  0.995,                0.74859,                0.91455,                0.40705,                0.94444,               0.000812,               0.000812,               0.000812
                     63,                 0.7032,                0.40074,                0.89478,                0.99928,                      1,                  0.995,                0.72519,                  1.005,                0.41751,                0.97491,              0.0007922,              0.0007922,              0.0007922
                     64,                0.68845,                0.39905,                0.89708,                0.99451,                      1,                 0.9943,                0.74411,                0.94485,                0.41707,                0.97061,              0.0007724,              0.0007724,              0.0007724
                     65,                0.68618,                0.39744,                0.90272,                 0.9945,                      1,                0.99361,                0.73766,                0.94228,                0.39918,                0.95612,              0.0007526,              0.0007526,              0.0007526
                     66,                0.67476,                0.39258,                0.88901,                0.98934,                  0.995,                0.99179,                 0.7255,                  0.979,                0.41308,                0.98004,              0.0007328,              0.0007328,              0.0007328
                     67,                0.67197,                0.38584,                0.88356,                0.99452,                      1,                0.99435,                0.74983,                0.93489,                0.39549,                0.96714,               0.000713,               0.000713,               0.000713
                     68,                0.65933,                0.38528,                0.88839,                0.99452,                      1,                0.99331,                0.73988,                0.95002,                0.39485,                0.96902,              0.0006932,              0.0006932,              0.0006932
                     69,                0.66948,                0.37852,                0.88796,                0.99427,                      1,                 0.9941,                0.75044,                0.90831,                0.38269,                0.95408,              0.0006734,              0.0006734,              0.0006734
                     70,                0.64803,                0.37515,                 0.8867,                0.99502,                0.99979,                0.99495,                0.75094,                0.93157,                0.39388,                0.96406,              0.0006536,              0.0006536,              0.0006536
                     71,                0.67511,                0.38189,                 0.8863,                 0.9979,                      1,                  0.995,                0.74268,                0.93612,                 0.3951,                0.95936,              0.0006338,              0.0006338,              0.0006338
